influencer_name,category,country,followers,engagement_rate,global_score
Influenceur_0,Food,Germany,2660235,3.962902579978057,0.8484717744062646
Influenceur_1,Travel,USA,4750039,14.938835532984369,0.36325535167581025
Influenceur_2,Lifestyle,Germany,8309350,14.7356507101511,0.7939351334518513
Influenceur_3,Travel,UK,9703374,10.093125015904263,0.9409923225744371
Influenceur_4,Travel,France,2313554,12.261796835484628,0.623210373068007
Influenceur_5,Tech,Germany,4030120,11.0114022579718,0.7416272874518889
Influenceur_6,Lifestyle,Italy,2956862,9.304215066552555,0.8050973120411349
Influenceur_7,Lifestyle,France,2686517,1.7468719578445677,0.8450396488966425
Influenceur_8,Lifestyle,USA,4317086,7.3667007957372554,0.39505333785679597
Influenceur_9,Travel,Italy,7341006,10.447008230343748,0.05126345917599817
Influenceur_10,Food,France,9025828,10.485442594371586,0.4018762712367395
Influenceur_11,Lifestyle,Italy,8339442,6.2237166579133705,0.6737562297840898
Influenceur_12,Travel,USA,6179912,14.183687813212428,0.4503503857807928
Influenceur_13,Tech,UK,8841924,3.342998451314934,0.7489631508603986
Influenceur_14,Food,USA,3527741,8.005032247017848,0.3569824294686639
Influenceur_15,Tech,USA,6178563,10.672375671711519,0.6347441411040295
Influenceur_16,Food,Italy,3466653,10.759901282485329,0.18641980485397458
Influenceur_17,Travel,Spain,5439219,10.080945394763418,0.7493694366449569
Influenceur_18,Fashion,Germany,485595,4.854034988326042,0.5456959688130258
Influenceur_19,Food,Germany,9864352,3.186891961612708,0.20406438854660058
Influenceur_20,Tech,UK,1898806,9.903164575573951,0.29191117349780726
Influenceur_21,Travel,UK,2158091,9.390229625952129,0.7486087085818324
Influenceur_22,Food,Germany,3971676,3.510984144049374,0.4826012356615207
Influenceur_23,Fashion,Spain,1770462,10.871948037987886,0.2160314403930722
Influenceur_24,Fashion,Germany,4068848,7.3724078842711895,0.9672711903702976
Influenceur_25,Lifestyle,Spain,819178,10.348648282444142,0.7151250198168879
Influenceur_26,Lifestyle,UK,7942310,12.723139116782109,0.9571348325397961
Influenceur_27,Tech,France,4787402,3.3761980000769243,0.4271050453603432
Influenceur_28,Food,Italy,6944106,1.2680281519557135,0.47510034069172047
Influenceur_29,Food,UK,7496327,11.907436209541014,0.8979552161850192
Influenceur_30,Lifestyle,UK,2572605,9.535763952136623,0.5250493402453846
Influenceur_31,Food,USA,731037,10.794953974709705,0.7072789119056672
Influenceur_32,Food,USA,5517683,12.734169649840997,0.25217287749552997
Influenceur_33,Fashion,USA,6427954,12.239353087543007,0.44672646870264054
Influenceur_34,Lifestyle,Italy,1031469,14.452882057003546,0.12344986581035511
Influenceur_35,Travel,USA,6766350,8.503091103929656,0.20598003587696168
Influenceur_36,Lifestyle,Spain,5789277,7.838938857238675,0.000943415267631087
Influenceur_37,Travel,Germany,2902371,6.626420798470221,0.03926505164866023
Influenceur_38,Fashion,France,6980199,3.1516745998188638,0.9772838231769293
Influenceur_39,Tech,UK,473001,9.016501260348313,0.2423536951367623
Influenceur_40,Food,Spain,6021493,4.878175340563703,0.663310709504002
Influenceur_41,Fashion,France,2832136,13.898305170981656,0.8390996987996115
Influenceur_42,Food,Spain,525693,9.164671259879366,0.5506604592365643
Influenceur_43,Tech,Spain,2646722,9.299762527113542,0.1531445000839562
Influenceur_44,Tech,UK,7828114,5.96894525227814,0.7281164373361664
