influencer_name,category,followers,posts,avg_likes,avg_comments,engagement_rate,country,influence_score,rank,username,channel_info,followers_normalized,engagement_normalized,popularity_score,engagement_rate_normalized,posts_normalized,avg_likes_normalized,avg_comments_normalized,category_encoded,country_encoded,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,global_score
Influenceur,Unknown,227300,3400.0,21400.0,4000000.0,7.5845,Turkey,100.0,1.0,Unknown,style11910_vlog,-0.3965268933623071,0.5060513860716701,0.1763073726541805,0.0,0.7665560771322066,-0.3303178869959194,-0.11797601536043031,7,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05726682788324915
Influenceur,Unknown,12800000,3200.0,309200.0,4000000.0,7.5845,Mexico,100.0,2.0,Unknown,music23601_tv,-0.07518942782087133,0.5060513860716701,0.4010026411007197,0.0,0.6377536459214169,-0.04137369643337472,-0.11797601536043031,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16108428986630483
Influenceur,Unknown,1400000,2000.0,58100.0,4000000.0,7.584499999999999,Netherlands,100.0,3.0,Unknown,city10766_vlog,-0.36655461645754983,0.50605138607167,0.2088364686423325,-3.651487174678101e-16,-0.135060941343322,-0.2934719808331488,-0.11797601536043031,7,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028786825049063058
Influenceur,Unknown,8400000,613.0,261700.0,4000000.0,7.584499999999999,Brazil,100.0,4.0,Unknown,shop63759_vlog,-0.18764616729467706,0.50605138607167,0.24481801969563272,-3.651487174678101e-16,-1.0283058017901494,-0.0890625395595765,-0.11797601536043031,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0974111139223781
Influenceur,Unknown,438000,2200.0,49000.0,4000000.0,7.5845,Canada,100.0,5.0,Unknown,style30613_world,-0.39114174904250465,0.5060513860716701,0.33024983529468377,0.0,-0.006258510132532179,-0.3026081592004843,-0.11797601536043031,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1451754247471403
Influenceur,Unknown,6400000,1900.0,382600.0,4000000.0,7.5845,Germany,100.0,6.0,Unknown,eco90324_world,-0.23876286705549787,0.5060513860716701,0.16913764320314,0.0,-0.19946215694871688,0.03231811589216657,-0.11797601536043031,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10310025826865565
Official,Unknown,1900000,3800.0,108700.0,4000000.0,7.5845,Argentina,100.0,7.0,Unknown,official47823_zone,-0.35377544151734464,0.5060513860716701,0.29048521418427803,0.0,1.0241609395537863,-0.24267081320818437,-0.11797601536043031,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13394875415938767
Influenceur,Unknown,1800000,3800.0,85500.0,4000000.0,7.5845,Canada,100.0,8.0,Unknown,style62593_official,-0.3563312765053857,0.5060513860716701,0.3859112112024417,0.0,1.0241609395537863,-0.26596304816666605,-0.11797601536043031,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16640344828689393
Influenceur,Unknown,6300000,3500.0,199700.0,4000000.0,7.5845,France,100.0,9.0,Unknown,daily74441_vlog,-0.2413187020435389,0.5060513860716701,0.18552712156951306,0.0,0.8309572927376015,-0.15130902953482936,-0.11797601536043031,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11493974375813604
Influenceur,Unknown,7500000,1300.0,222700.0,4000000.0,7.584499999999999,South Korea,100.0,10.0,Unknown,style25959_lab,-0.21064868218704644,0.50605138607167,0.26041744715588494,-3.651487174678101e-16,-0.5858694505810863,-0.12821758970530006,-0.11797601536043031,7,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14942844911033398
